date,total_views,unique_visitors
2026-02-27,303,35
2026-02-28,47,11
2026-03-01,12,8
2026-03-02,264,45
2026-03-03,380,53
2026-03-04,340,45
2026-03-05,180,44
2026-03-06,89,40
2026-03-07,22,11
2026-03-08,34,13
2026-03-09,226,36
2026-03-10,241,41
2026-03-11,217,38
2026-03-12,292,48
2026-03-13,370,35
2026-03-14,35,17
2026-03-15,38,17
2026-03-16,152,38
2026-03-17,356,50
2026-03-18,211,46
2026-03-19,268,37
2026-03-20,433,44
2026-03-21,61,7
2026-03-22,77,15
2026-03-23,318,39
2026-03-24,352,53
2026-03-25,394,51
2026-03-26,451,60
2026-03-27,194,42
2026-03-28,27,14
2026-03-29,25,18
2026-03-30,188,47
2026-03-31,281,56
2026-04-01,329,49
2026-04-02,331,52
2026-04-03,223,39
2026-04-04,50,21
2026-04-05,60,14
2026-04-06,193,38
2026-04-07,254,44
2026-04-08,319,55
2026-04-09,215,43
2026-04-10,333,54
2026-04-11,35,12
2026-04-12,19,14
2026-04-13,333,43
2026-04-14,360,53
2026-04-15,152,38
2026-04-16,220,37
2026-04-17,447,33
2026-04-18,62,14
2026-04-19,76,18
2026-04-20,556,37
2026-04-21,559,58
2026-04-22,194,42
2026-04-23,383,41
